Character,Japanese,English

ディル,「フェンネルさん、おはよう！」

セージ,「おお、もう来てたのか。フェンネルは早いなぁ」

フェンネル,「ふむ、約束の１０分前ですね。１０分前行動ができるのは良いことです。これからも心がけてください」

ディル,「そう言うフェンネルさんはいつからここに？ 僕達より早く来てたから……ん～…… １５分前？」

フェンネル,「３０分前です」

デイル＆セージ,「３０分前！？」

フェンネル,「今日は雇い主に初めて会う日です。遅刻など以ての外……とはいえ早く着き過ぎる訪問も失礼にあたります」

ディル,「あ、あはは……フェンネルさんは真面目だなぁ」

ディル,「あれ、そういえばローリエさんは？」

セージ,「この近くにはいないみたいだな」

デイル,「えっ、どうしよう。そろそろ時間なのに……」

セージ,「スマホに連絡してみるぞ！」

セージ,「……電話に出ないなぁ。繋がるから電源は切ってないみたいだが」

フェンネル,「仕方ありません。待ち合わせ時間になっても来なかったら、私達だけで先に挨拶しましょう」

ディル,「……結局、時間になっても来なかったね」

フェンネル,「セージさん、ディルくん、行きますよ」

セージ,「どんな人か楽しみだな！」

ディル,「わっ、壁に古時計がかけてある！」

フェンネル,「雇い主の趣味でしょうか。良い趣味をしていますね」

セージ,「ん？ 俺達の雇い主は大学を卒業したばかりの女の子だと聞いてるぞ？」

フェンネル,「内装は彼女のお祖父さんでしょう。元々、この店はその方が経営されていましたからね」

フェンネル,「さて、彼女はー」

ローリエ,「気持ち良く寝てたのに、騒々しいな」

デイル,「ローリエさん！」

セージ,「おお、ローリエが一番乗りだな！」

フェンネル,「…… 何をしているんですか」

ローリエ,「あふ…… 見れば分かるだろう」

フェンネル,「どうして貴方が彼女の膝で寝ているのかと聞いているんです」

ローリエ,「今日からここが俺の寝床になるからだ。そうだろう、ご主人様？」

ローリエ,「ほら、こいつも同意した」

フェンネル,「はぁ…… どう見ても困って笑っているだけでしょう」

フェンネル,「貴女も嫌なら嫌と言いなさい。でないと、ネコは調子に乗りますよ」

デイル,「うーん、言ってもネコだからあんまり気にしないと思うよ」

セージ,「まあ、それがネコの良いところでもあるがな！」

ローリエ,「そういうことだ」

ローリエ,「ふぁ…… 俺は眠いから寝る」

ディル,「あ、あはは。ローリエさんは自由だなぁ」

ディル,「ん？ ああ、まだ自己紹介してなかったよね。ローリエさんからはされてない？」

ローリエ,「ZZZZ……」

デイル,「本人は寝ちゃってるし……。フェンネルさん、僕達から自己紹介するでいいかな？」

フェンネル,「そうですね。では、私からしましょう」

フェンネル,「フェンネルです。好きな食べ物はクリームチーズと生ハムのパスタ、得意料理はパスタ全般ですが和・洋・中、何でも作れます」

フェンネル,「趣味は読書と仕事です。貴女が一人前のオーナーになれるよう私が指導するので、どうぞよろしくお願いします」

セージ,「セージだ。好きな食べ物は焼き魚とどら焼き、得意料理は和食全般。趣味は風呂に入ることと、スイーツ巡りだ」

セージ,「俺は力持ちだから、力仕事は任せてくれ！」

ディル,「ディルです。好きな食べ物はハンバーグとオムライス、得意料理は洋食全般だよ。特に好物のハンバーグとオムライスが得意かな」

ディル,「趣味は散歩とファッション雑誌のチェック！」  

ディル,「おじいさんが亡くなって、いきなりお店を継ぐことになっちゃって大変だと思うけど……僕達も協力するから、一緒に頑張ろうね！」

フェンネル,「ローリエさん、最後は貴方ですよ」

ローリエ,「ZZZZ……」

フェンネル,「ローリエさん！」

ローリエ,「ふぁぁ……大きな声を出さなくても聞こえている」

ローリエ,「ローリエだ。好きな食べ物はサンドイッチで得意料理も同じ。趣味は寝ることと — 」

ローリエ,「お気に入りのものにちょっかいをかけることだ」

ローリエ,「俺を働かせたかったら、それなりのご褒美はくれるんだろう？」

フェンネル,「…… ローリエさん、雇い主をあんまり困らせないでください」

デイル,「あはははは……」

ディル,「えっと、今挨拶した４匹がこの店で働くんだ」

フェンネル,「すでに開店の手続きは済ませていて、準備も万端？ 明日から問題なく開店できるのですね」

ローリエ,「それなら今日は一日、寝ていられるな」

ローリエ,「ん？ これから俺達を家に案内したい？」

ディル,「そっか、住み込みで働くことになるんだもんね」

ディル,「ふふ、どんな家なんだろう。楽しみ♪」

ディル,「わっ、映画に出てきそうな家……」

セージ,「それに、ここだけ時間が止まったみたいだなぁ」

フェンネル,「やはり貴女のお祖父さんは良い趣味をしていますね」

フェンネル,「きっと中もこだわっているのでしょう。このような場所で寝泊りできることに感謝します」

ローリエ,「俺は屋根さえあればどこでもいい」

セージ,「うん、俺も似たようなものだ」

フェンネル,「……貴方達は……」

ディル,「立ち話も何だし、彼女に案内してもらわない？」

フェンネル,「そうですね。案内、お願いします」

ディル,「うわぁ、中も素敵だね！」

フェンネル,「はい。壁の色とヴィンテージ家具が調和して、落ち着く空間を作り出しています」

フェンネル,「ここで朝のコーヒーを飲むのは幸せでしょうね」

フェンネル,「ふぁ…… おやすみ」

ローリエ,「ZZZZ……」

セージ,「ローリエはよく寝るなぁ。寝る子は育つって言うし、寝ていていいぞ！」

フェンネル,「……ソファは座る場所であって寝る場所ではありません」

ローリエ,「ネコはソファでも寝るだろ」

ローリエ,「ソファに限らず、居心地が良ければどこでも寝る。たとえばご主人様の膝とかな」

セージ,「うん、よくわかる！」

セージ,「まあ、俺が彼女の膝で寝たら足が痺れて大変だろうが」

デイル,「僕も……膝で寝たい気持ちはわかるかな」

フェンネル,「……んんっ」

フェンネル,「リビングは案内してもらったので、次は部屋に案内してもらいましょうか」

ディル,「僕達が住む部屋は２階？ もしかして４匹で住むのかな？」

ローリエ,「それなら俺はリビングで寝させてもらう。うるさいのは真っ平ごめんだ」

フェンネル,「私も勉強に集中できないので、うるさいのは困ります」

フェンネル,「かと言って、リビングで寝るというのは賛成しかねますが」

セージ,「俺は賑やかでいいと思うけどなぁ」

ディル,「僕もみんなでワイワイするのは好きだから、４匹一緒でいいよ！」

ディル,「えっ？ ２階に１匹ずつ部屋があるの？」

フェンネル,「助かります」

ローリエ,「ふぁ……それならずっと寝てられるな」

セージ,「うーん、残念だなぁ」

ディル,「セージさん、みんなの部屋に遊びに行けばいいんだよ！」

ディル,「僕はいつでも大歓迎だから、気軽に遊びに来てね♪」

セージ,「ありがとう！ 遠慮なく遊びに行くぞ！」

ディル,「わっ、たくさん部屋があるね！」

ディル,「ふぅん。一番奥、右手の部屋はおじいさんが使ってた書斎で……そこは遠慮してほしいんだ」

ローリエ,「お前はどこの部屋を使ってるんだ？」

ローリエ,「書斎の向かい？ それなら俺はお前の隣だな」

ディル,「あっ、ローリエさんズルい！」

ローリエ,「早い者勝ちだ、悪く思うなよ」

ローリエ,「この中で俺と良い勝負ができそうなのはフェンネルだが……まあ、俺の一人勝ちだろう」

フェンネル,「彼女の飼いネコになりたいのなら、自分が有用だと彼女に示せばいいのです。もちろんそれを示せる自信が私にはあります」

セージ,「うーん、争いからは何も生まれないぞ」

セージ,「俺はせっかくなら４匹で仲良くしたいな！」

ディル,「僕もセージさんに賛成！ 全員で彼女の飼いネコになればいいんじゃない？」

ディル,「あっでも、飼いネコになったら僕を一番にしてくれると嬉しいな♪」

ディル,「どうしたの？ 何だか戸惑った顔をしてるけど……？」

ディル,「ふぅん。僕達みんな、お店を手伝いに来てくれただけだと思ってたから『飼いネコ』って言われて戸惑っちゃったんだ」

